,ra,dec,ps,host,label
97,151.758,67.828,1.7078625967395054,M81,0
98,146.196,67.439,1.8207083009882632,M81,0
99,147.542,67.507,1.7037558701608324,M81,0
100,151.280,66.555,1.2787989459329157,M81,0
101,149.702,66.850,0.4085300179132241,M81,0
102,156.616,67.657,2.4924259265955837,M81,0
103,157.165,70.234,0.5410165884078099,M81,0
104,148.807,70.408,0.5811910875470037,M81,0
105,160.320,70.151,0.34067975270036344,M81,0
106,155.355,71.116,0.9975774519585591,M81,0
107,146.143,71.483,0.713856211371097,M81,0
108,141.616,70.507,0.44691898375734257,M81,0
109,145.135,71.186,2.6252696037491843,M81,0
110,143.515,70.216,0.8734828879508271,M81,0
111,23.249,14.374,0.47198644571767123,NGC628,0
112,23.484,15.731,0.1414507883168419,NGC628,0
113,23.554,15.746,0.7112784276324032,NGC628,0
114,23.674,14.644,0.32849042678617346,NGC628,0
115,24.084,16.470,0.2221384348240703,NGC628,0
116,24.324,15.633,0.2508376386103699,NGC628,0
117,24.502,14.982,0.2305832580071654,NGC628,0
118,24.416,16.132,0.32275058602891354,NGC628,0
119,24.961,14.556,0.17080974391432077,NGC628,0
120,24.937,15.899,0.5545213972962016,NGC628,0
121,25.040,15.939,0.29655843912509533,NGC628,0
122,25.044,15.906,1.5508785825391807,NGC628,0
123,25.901,15.694,0.9484592037513617,NGC628,0
124,150.409,-8.249,0.898869670361121,NGC3115,0
125,151.396,-7.750,0.7267295563240221,NGC3115,0
126,150.044,-8.357,0.605207735731753,NGC3115,0
127,150.390,-6.525,0.5759489718554033,NGC3115,0
128,150.004,-7.688,0.38643054234099095,NGC3115,0
129,151.834,-7.263,0.4565757429948748,NGC3115,0
130,151.553,-7.500,0.2507532938690191,NGC3115,0
131,151.158,-6.958,0.4511410697910604,NGC3115,0
132,150.994,-7.640,0.618920806490215,NGC3115,0
133,151.611,-7.549,0.27590445590527657,NGC3115,0
134,151.640,-7.510,0.34491216681882714,NGC3115,0
135,151.947,-8.504,0.24841512051388964,NGC3115,0
136,150.229,-8.531,0.26465594625086997,NGC3115,0
137,150.657,-6.708,0.20500092875783718,NGC3115,0
